FID,osm_id,code,fclass,name,shape@x,shape@y
802,"7799183060",3500,hindu,Shri Sanatan Dharam Mandir,80.8449343000,24.5687866000
548,"5756933870",3500,hindu,Marimata Ganesh Mandir,75.8494102000,22.7340617000
1448,"11554851908",3300,muslim,Jama Masjid,78.3556502000,22.7570662000
173,"3344990608",3500,hindu,Jageshwari Devi Mandir,78.1435131000,24.7113849000
89,"2840587084",3500,hindu,Siddha Baba Mandir,81.5636202000,23.1730965000
14,"1109061745",3500,hindu,Sasbahu,78.1704234000,26.2236003000
172,"3339597278",3500,hindu,Hanuman Mandir,75.8967762000,22.7305252000
392,"4695218592",3500,hindu,ramdwara chhatribagh,75.8477037000,22.7090880000
525,"5474694553",3500,hindu,Mata Temple,77.3410415000,23.2733442000
1785,"12172286342",3500,hindu,Shree Ram Janki Mandir Basahari,78.3018530000,24.2157549000
767,"7541317369",3500,hindu,,76.3822558000,21.3069039000
1767,"12159831620",3500,hindu,Sagar Naka Mandir,78.3328269000,24.0399795000
106,"3029403261",3500,hindu,Jain Mandir,75.3978009000,22.3463148000
1783,"12172261104",3500,hindu,Shri Kashi Vishwanath Mandir,78.2979379000,24.2152895000
1794,"12174251105",3500,hindu,Khaki Baba Mandir,78.3643987000,24.2093983000
1252,"10750127499",3100,christian,St. Jude Catholic Church,80.5561232000,22.1055685000
1812,"12176054202",3500,hindu,Shani Mandir Sagar,78.7412204000,23.8499733000
768,"7541374711",3500,hindu,Hunaumanji tample,76.3810434000,21.3011414000
1254,"10750127502",3300,muslim,Eid Gaah Baihar,80.5552601000,22.1058329000
705,"7123907528",3500,hindu,,80.3366313000,22.6313138000
1716,"12107567469",3500,hindu,Mata Mandir,78.5882502000,23.6764124000
501,"5323136886",3500,hindu,HALWAI BADSHASH MANDIR,79.9495809000,23.1602226000
1668,"11982693542",3500,hindu,Hanuman Mandir,79.0660501000,23.7927839000
1722,"12107676084",3500,hindu,Hanuman Mandir,78.5638977000,23.7022654000
1801,"12174718466",3500,hindu,Shri Hanuman Mandir,78.3377768000,24.1160915000
1661,"11980221762",3500,hindu,Hanuman Mandir Chhapri,78.8792085000,23.9445157000
979,"8361562264",3500,hindu,Shri Maruti ji Temple,75.8499190000,22.7331638000
1461,"11598135521",3500,hindu,Big Shankar Ji Temple,80.8335686000,23.5195822000
1724,"12107681422",3500,hindu,Bhole Nath Mandir Bansa,78.5516050000,23.7035784000
1725,"12107692203",3500,hindu,Ma Durga Mandir Upar Kheda,78.5479608000,23.7062479000
1761,"12159350475",3500,hindu,Shree Thakur Baba Mandir,78.4558422000,23.9808082000
642,"6562631978",3500,hindu,Ram mandir budhwara,76.7235235000,23.0189548000
526,"5474694563",3500,hindu,Shiv Mandir,77.3387186000,23.2720598000
386,"4691946341",3500,hindu,ganesh temple,75.8360842000,22.6984819000
1804,"12174769280",3500,hindu,Ram Janki  Mandir,78.3299904000,24.0916535000
1803,"12174764784",3500,hindu,Gurudwara,78.3304452000,24.0916079000
996,"8549116438",3400,buddhist,Mahapragya Bauddha Vihar,80.5499810000,22.1155114000
1806,"12174777362",3500,hindu,Matarani  Mandir,78.3361034000,24.0670052000
1754,"12153756127",3500,hindu,Vrindavan Mandir,78.7501449000,23.8357482000
998,"8583920394",3500,hindu,hauma ji,81.2930088000,24.5382768000
1637,"11753377164",3500,hindu,Chota Mahadev Temple,78.4111904000,22.4769693000
485,"5302727021",3500,hindu,Mandir,80.8661729000,25.1611936000
1702,"12100630835",3500,hindu,Shree Hanuman Mandir Banjariya,78.6158519000,23.6396228000
347,"4485785154",3500,hindu,A Temple,78.5309490000,21.5908257000
1829,"12188130340",3500,hindu,Kherapati Devi Mandir Kudari,78.7271224000,23.8945080000
703,"7112302710",3500,hindu,,79.8301806000,23.1101137000
1738,"12150915820",3500,hindu,Shree Hanuman Mandir,78.6587179000,23.8135968000
191,"3640953883",3500,hindu,Balaji Ka Manir,75.1260158000,24.4724192000
544,"5572780124",3500,hindu,Cha,78.1699980000,26.2308797000
266,"3911235048",3500,hindu,,76.1329043000,22.2560076000
1791,"12174198170",3500,hindu,Ankus Pavaiya  Khaki Baba Mandir,78.3648289000,24.2078144000
197,"3696037864",3500,hindu,Iscon Temple,75.7999003000,23.1614492000
1536,"11690956257",3300,muslim,Maszid,75.9743820000,21.8659863000
1837,"12189727319",3500,hindu,Love Kush Mandir Mothi,78.6851650000,23.9603967000
1475,"11659308226",3400,buddhist,Maruti Nandan Temple,80.4130316000,22.8823131000
1858,"12194419680",3500,hindu,Maa Bidhyabasini Mandir,78.6315852000,24.0414235000
1861,"12201350222",3500,hindu,Shri Dev  Laxmi Narayan Mandir Bandri,78.6355821000,24.0408411000
1838,"12189727321",3500,hindu,Radha Swami Mandir  Kamlesh Patel,78.6829427000,23.9608950000
1257,"10758040913",3400,buddhist,SDhiv mandir,80.7333352000,22.0650895000
1550,"11691267224",3100,christian,Mar Gregorios Orthodox Syrian church,78.7795949000,23.8578366000
1253,"10750127501",3500,hindu,Joda Pat Mandir,80.5567696000,22.1056761000
1631,"11736924942",3500,hindu,Kherapati Mata Temple,78.4382070000,22.4725085000
1571,"11693461404",3800,sikh,gurudwara,76.7002126000,25.6752365000
1690,"12090273868",3500,hindu,Gayatri Mandir,79.0195793000,23.3955491000
1717,"12107584293",3500,hindu,Shri Seetarmarn Mandir Onria,78.5991190000,23.6803569000
1223,"10310236726",3500,hindu,,75.0935177000,24.8028735000
1440,"11506610049",3500,hindu,,78.3566310000,22.7304997000
1684,"12076847627",3500,hindu,Mahakali Tigdda,78.9366106000,23.5264815000
1606,"11698820945",3500,hindu,"Shiv Mandir, Raikhedi",78.3753891000,22.7315848000
1833,"12188175552",3500,hindu,Gadhpura Mandir,78.7230824000,23.9028498000
1680,"12072964251",3500,hindu,Jai Ma Sinhwahni Mata Mandir,78.8137087000,23.6715443000
1696,"12100400734",3500,hindu,MA Khermata Mandir,78.7021116000,23.7178673000
1384,"11136724662",3500,hindu,"Shri Gajanan Bhavan, Sagar",78.7507017000,23.8175491000
1465,"11634391258",3102,christian_catholic,St. Joseph Church,80.3662164000,22.6230606000
1453,"11568452659",3500,hindu,Hanuman Mandir,80.3480409000,22.6936281000
469,"5193565864",3500,hindu,अन्नपूर्णा मंदिर,75.8379265000,22.6901290000
375,"4623154600",3500,hindu,Ranjeet Hanuman Temple,75.8356692000,22.7000540000
804,"7799242030",3500,hindu,Maa Durga Temple,80.8444526000,24.5683752000
1442,"11513106362",3500,hindu,,78.3529354000,22.7363892000
1849,"12194179158",3500,hindu,Mata Madiya (Khear Mata Mandir ),78.6586623000,23.9878634000
1472,"11643018344",3500,hindu,Amba Mai,78.4497659000,22.4882249000
1720,"12107632128",3500,hindu,Ma Beejasain  Mata Mandir,78.5955826000,23.6808808000
1818,"12176616700",3500,hindu,Gurudwara Shri Guru S..S...,78.7394420000,23.8492526000
1610,"11709859678",3500,hindu,Shree Krishna Temple,78.3748297000,22.7288328000
1447,"11541586817",3500,hindu,,78.3549712000,22.7447553000
1355,"10959759722",3500,hindu,JAGDAMBA,75.8551174000,22.7030512000
419,"4762877240",3500,hindu,,80.8681215000,25.1631050000
1497,"11690381780",3500,hindu,Shree Siddheshwar Veer Hanuman Mandir,75.8775757000,22.7050632000
1553,"11691511813",3500,hindu,mukteshwar mahadev,76.6892090000,25.6765276000
1769,"12159888682",3500,hindu,Hanuman Mandir,78.3310928000,24.0410235000
1501,"11690381801",3500,hindu,Banke Bihari Temple,75.8552340000,22.7180149000
778,"7594173345",3500,hindu,Sai temple,75.7808958000,23.1598926000
